City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp
Zhigansk,66.77,123.37,78,62,6.59,RU,1607901506,-42.987999999999985
Paamiut,61.99,-49.67,93,100,18.57,GL,1607901506,22.387999999999998
Omboué,-1.57,9.26,89,100,3.57,GA,1607901507,77.0
Pio IX,-6.84,-40.58,46,57,3.98,BR,1607901507,80.69
Vao,-22.67,167.48,80,83,10.83,NC,1607901507,77.054
Pangnirtung,66.15,-65.71,70,0,2.21,CA,1607901507,-10.911999999999999
Nombre de Dios,23.85,-104.23,12,86,2.68,MX,1607901507,71.996
Vallenar,-28.57,-70.76,39,0,2.59,CL,1607901507,75.542
Nizhniy Tsasuchey,50.52,115.13,87,3,2.99,RU,1607901507,-7.707999999999998
Meridian,43.61,-116.39,100,75,3.6,US,1607901508,32.0
Taltal,-25.4,-70.48,58,22,2.17,CL,1607901508,66.56
Dodge City,37.75,-100.02,74,1,5.7,US,1607901508,33.8
Bilibino,68.05,166.44,87,100,1.91,RU,1607901508,-1.7139999999999986
Bridlington,54.08,-0.19,93,87,3.6,GB,1607901509,50.0
Eenhana,-17.47,16.33,23,39,3.1,NA,1607901509,84.2
Sur,22.57,59.53,49,0,5.13,OM,1607901509,70.646
Srikakulam,18.3,83.9,80,0,2.22,IN,1607901510,68.14399999999999
Bethel,41.37,-73.41,53,1,2.6,US,1607901318,51.8
Rio Branco,-9.97,-67.81,74,20,2.6,BR,1607901446,82.4
La Libertad,-2.23,-80.9,78,40,6.2,EC,1607901510,77.0
Ust-Kuyga,70.02,135.6,78,53,2.46,RU,1607901510,-41.8
Spring Hill,28.48,-82.53,64,1,4.1,US,1607901344,75.2
Beringovskiy,63.05,179.32,98,100,10.24,RU,1607901510,28.796
George Town,5.41,100.34,94,20,1.0,MY,1607901480,78.8
Najrān,17.49,44.13,46,0,0.22,SA,1607901237,53.6
Caravelas,-17.71,-39.25,82,1,2.8,BR,1607901511,74.21
Mae Sai,20.43,99.88,100,1,1.0,TH,1607901511,60.007999999999996
Road Town,18.42,-64.62,83,40,2.6,VG,1607901511,78.998
Carutapera,-1.2,-46.02,83,63,2.26,BR,1607901511,78.332
Derzhavīnsk,51.1,66.32,94,91,3.42,KZ,1607901220,6.187999999999999
Luau,-10.71,22.22,99,99,2.23,AO,1607901512,63.176
Tulagi,-9.1,160.15,70,40,1.0,SB,1607901512,87.8
Borovoy,55.43,86.08,84,90,4.0,RU,1607901512,8.600000000000001
Kumul,42.8,93.45,73,0,1.57,CN,1607901512,10.670000000000002
Alyangula,-13.85,136.42,83,75,3.1,AU,1607901512,82.4
Cabedelo,-6.98,-34.83,94,75,4.1,BR,1607901512,77.0
West Wendover,40.74,-114.07,68,90,1.5,US,1607901512,24.8
Nemuro,43.32,145.57,86,100,4.09,JP,1607901512,27.5
Oak Harbor,48.29,-122.64,87,90,7.7,US,1607901513,44.996
Alekseyevka,50.63,38.69,95,100,5.61,RU,1607901513,27.698
Mpophomeni,-29.57,30.19,96,80,1.49,ZA,1607901513,68.0
Dalbandin,28.89,64.41,56,0,3.2,PK,1607901513,45.932
Teluknaga,-6.1,106.64,83,20,5.7,ID,1607901513,78.008
Aitape,-3.14,142.35,83,100,2.14,PG,1607901513,79.088
Puerto Palomas,31.77,-107.62,24,1,3.6,MX,1607901514,46.4
Batemans Bay,-35.72,150.18,77,87,0.89,AU,1607901514,71.996
Birjand,32.87,59.22,67,0,2.1,IR,1607901497,21.2
Huarmey,-10.07,-78.15,76,70,3.86,PE,1607901514,69.962
Makhachkala,42.98,47.5,81,75,6.0,RU,1607901514,46.4
Jizan,17.33,42.67,74,0,1.5,SA,1607901514,78.8
Kawalu,-7.38,108.21,92,99,0.66,ID,1607901514,71.834
Sumbe,-11.21,13.84,78,38,1.67,AO,1607901515,73.706
Arraial do Cabo,-22.97,-42.03,83,75,4.1,BR,1607901515,77.0
Narsaq,60.92,-46.05,86,75,0.5,GL,1607901515,26.6
Lokoja,7.8,6.74,67,45,2.47,NG,1607901515,81.374
Longford,53.73,-7.8,99,92,3.13,IE,1607901515,46.004
Pishin,30.58,67.0,80,1,4.17,PK,1607901515,35.366
Springdale,36.19,-94.13,99,90,3.1,US,1607901386,33.8
Santa Isabel,-23.32,-46.22,78,75,2.6,BR,1607901516,77.0
Victor Harbor,-35.57,138.62,41,65,1.34,AU,1607901516,84.002
Honningsvåg,70.98,25.97,80,75,1.5,NO,1607901516,30.2
Todos Santos,23.45,-110.22,59,0,1.79,MX,1607901516,73.004
Maridi,4.92,29.47,41,63,0.39,SS,1607901516,75.182
Alofi,-19.06,-169.92,94,90,4.6,NU,1607901516,73.4
Port-Gentil,-0.72,8.78,88,40,3.6,GA,1607901516,80.6
Pimentel,-6.84,-79.93,68,0,10.8,PE,1607901516,71.6
Praia da Vitória,38.73,-27.07,87,20,7.66,PT,1607901517,53.996
Clifton Springs,-38.15,144.57,41,0,8.2,AU,1607901517,82.004
Kahului,20.89,-156.47,54,40,3.1,US,1607901437,84.2
Wajir,1.75,40.06,43,48,4.65,KE,1607901517,79.16
Belaya Gora,68.53,146.42,86,100,1.52,RU,1607901517,-23.331999999999994
Vidalia,32.22,-82.41,72,90,0.25,US,1607901517,68.0
Kailua,21.4,-157.74,74,20,3.1,US,1607901517,82.004
Brae,60.4,-1.35,82,100,14.8,GB,1607901517,45.554
Dwārka,22.24,68.97,41,0,6.79,IN,1607901518,70.77199999999999
Ambon City,-3.7,128.18,78,20,2.6,ID,1607901260,78.8
Trairi,-3.28,-39.27,74,93,5.41,BR,1607901518,81.35600000000001
Mangan,27.52,88.53,38,3,2.04,IN,1607901518,53.096000000000004
Bagé,-31.33,-54.11,88,75,5.7,BR,1607901518,69.8
Manuk Mangkaw,4.8,119.85,72,75,2.06,PH,1607901518,82.922
Turaif,31.67,38.66,50,20,5.1,SA,1607901518,53.6
Skibbereen,51.55,-9.27,100,75,10.8,IE,1607901367,46.4
Mokrousovo,55.81,66.77,94,20,4.72,RU,1607901520,9.175999999999998
Berdigestyakh,62.1,126.7,80,50,1.83,RU,1607901520,-42.53799999999998
Raja,8.46,25.68,30,100,0.96,SS,1607901520,73.238
Trat,12.5,102.5,92,100,0.5,TH,1607901520,73.544
Kirkwood,38.58,-90.41,74,90,2.6,US,1607901420,37.994
Huilong,31.81,121.66,79,99,8.28,CN,1607901521,39.002
North Myrtle Beach,33.82,-78.68,93,1,1.5,US,1607901521,62.995999999999995
Temir,49.14,57.13,85,45,1.31,KZ,1607901521,10.975999999999999
North Platte,41.12,-100.77,40,1,1.5,US,1607901522,35.006
Roberval,48.52,-72.23,79,90,6.2,CA,1607901522,32.0
Valley Station,38.11,-85.87,65,90,3.1,US,1607901522,46.4
Black River,18.03,-77.85,74,20,6.7,JM,1607901522,82.4
Petropavlovsk-Kamchatskiy,53.05,158.65,69,90,7.0,RU,1607901255,33.8
Ust'-Koksa,50.27,85.61,89,100,0.57,RU,1607901522,6.853999999999999
Iqaluit,63.75,-68.51,66,75,7.7,CA,1607901523,12.2
Meru,0.05,37.66,86,18,1.76,KE,1607901523,56.408
Buala,-8.14,159.59,64,95,1.14,SB,1607901523,86.036
Tautira,-17.73,-149.15,66,40,5.7,PF,1607901523,86.0
Irshava,48.32,23.04,92,61,1.34,UA,1607901523,37.994
Mountain Home,43.13,-115.69,100,90,7.2,US,1607901523,28.4
Mitsamiouli,-11.38,43.28,68,8,2.16,KM,1607901252,80.87
Sittwe,20.15,92.9,87,0,2.78,MM,1607901524,66.758
Coahuayana Viejo,18.73,-103.68,65,20,5.1,MX,1607901249,80.6
Maun,-19.98,23.42,94,75,2.1,BW,1607901524,71.6
Kiambu,-1.17,36.83,77,75,4.1,KE,1607901524,64.4
Tilichiki,60.47,166.1,96,93,3.76,RU,1607901525,2.695999999999998
Deputatsky,69.3,139.9,87,100,1.06,RU,1607901256,-23.907999999999994
Camapuã,-19.53,-54.04,69,20,0.27,BR,1607901525,77.468
Vestmanna,62.16,-7.17,75,100,13.9,FO,1607901525,46.4
Karratha,-20.74,116.85,61,14,4.09,AU,1607901525,77.27
Villazón,-22.09,-65.59,44,20,8.65,BO,1607901525,59.414
Vershino-Darasunskiy,52.35,115.52,86,0,1.4,RU,1607901525,-16.995999999999995
Ilhabela,-23.78,-45.36,85,89,2.91,BR,1607901525,76.334
Cravo Norte,6.3,-70.2,80,92,2.58,CO,1607901526,77.612
Qaqortoq,60.72,-46.03,86,75,0.5,GL,1607901342,26.6
Goderich,43.75,-81.72,87,100,4.1,CA,1607901463,32.0
Ballina,-28.87,153.57,88,90,9.8,AU,1607901526,71.6
Balyqshy,47.07,51.87,72,0,7.0,KZ,1607901508,14.0
Mokhsogollokh,61.47,128.92,79,26,1.61,RU,1607901526,-43.024
Kembé,4.62,21.89,60,27,1.55,CF,1607901526,72.986
Synya,65.37,58.04,98,100,4.33,RU,1607901526,25.25
Husavik,66.04,-17.34,84,40,3.1,IS,1607901527,41.0
Tingi,-11.3,35.03,90,100,2.06,TZ,1607901527,64.472
Mayor Pablo Lagerenza,-19.93,-60.77,52,49,2.67,PY,1607901527,87.332
Slantsy,59.12,28.09,97,96,1.09,RU,1607901527,22.928
Denpasar,-8.65,115.22,88,75,4.6,ID,1607901469,80.6
Nabire,-3.37,135.48,80,98,1.24,ID,1607901527,81.05
Athmallik,20.72,84.53,60,0,0.2,IN,1607901528,63.896
Naryan-Mar,67.67,53.09,98,100,7.0,RU,1607901528,29.696
Sola,-13.88,167.55,100,75,5.92,VU,1607901528,78.8
Havre-St-Pierre,50.23,-63.6,61,90,7.7,CA,1607901528,14.0
Nishihara,26.18,127.76,68,40,3.6,JP,1607901528,68.0
Alice Springs,-23.7,133.88,61,28,5.1,AU,1607901528,87.008
Acapulco de Juárez,16.86,-99.89,70,20,1.5,MX,1607901529,86.0
Hailin,44.58,129.42,83,1,1.95,CN,1607901529,-10.354
Española,35.99,-106.08,54,1,1.5,US,1607901529,32.0
Jiblah,13.92,44.15,76,0,0.71,YE,1607901529,53.114000000000004
Farah,32.5,62.5,79,0,2.48,AF,1607901529,26.222
Athabasca,54.72,-113.29,76,22,2.6,CA,1607901529,-5.799999999999997
Asău,46.43,26.4,100,62,1.46,RO,1607901529,33.998
Innisfail,-17.53,146.03,65,98,1.06,AU,1607901308,81.104
Sibolga,1.74,98.78,78,100,1.97,ID,1607901530,75.326
Matamoros,25.53,-103.25,19,75,4.37,MX,1607901530,75.2
Haguenau,48.82,7.79,100,79,0.5,FR,1607901530,39.002
Matucana,-11.85,-76.4,58,94,2.44,PE,1607901531,61.321999999999996
Hailun,47.45,126.93,87,0,2.59,CN,1607901531,-10.245999999999995
Bosaso,11.28,49.18,54,0,1.98,SO,1607901532,73.562
Sri Aman,1.24,111.46,100,100,1.0,MY,1607901532,73.4
Martapura,-3.42,114.85,94,20,1.5,ID,1607901532,75.2
Östersund,63.18,14.64,96,100,4.6,SE,1607901533,33.008
Riwaka,-41.08,173.0,66,93,0.89,NZ,1607901533,62.995999999999995
Portland,45.52,-122.68,81,90,4.1,US,1607901306,42.998000000000005
Tessalit,20.2,1.01,27,0,3.94,ML,1607901534,66.128
Suslovo,56.22,88.12,95,100,6.01,RU,1607901534,7.699999999999999
Morondava,-20.28,44.28,81,96,2.72,MG,1607901534,79.628
Ropar,30.97,76.53,80,0,1.85,IN,1607901534,50.971999999999994
Voi,-3.39,38.56,91,31,0.96,KE,1607901535,70.484
Laguna,38.42,-121.42,81,90,6.2,US,1607901252,53.996
Port Augusta,-32.5,137.77,27,75,5.1,AU,1607901535,86.0
Umluj,25.02,37.27,44,21,0.9,SA,1607901535,74.768
Erenhot,43.65,111.98,85,0,2.75,CN,1607901535,-5.656000000000006
Christchurch,-43.53,172.63,55,53,4.1,NZ,1607901309,64.004
Paraíso,9.84,-83.87,53,20,6.2,CR,1607901536,78.8
Antonina,-25.43,-48.71,73,0,3.6,BR,1607901536,73.4
Pangody,65.85,74.49,97,100,2.22,RU,1607901536,12.704
San Cristobal,7.77,-72.22,62,20,4.1,VE,1607901536,84.2
Longjiang,47.33,123.18,72,0,3.29,CN,1607901536,-3.9639999999999986
Stepnoye,51.4,46.87,71,20,0.89,RU,1607901537,6.9979999999999976
Mhlume,-26.03,31.85,83,22,1.5,SZ,1607901537,73.4
Nurota,40.56,65.69,100,90,3.1,UZ,1607901537,21.2
Aleysk,52.49,82.78,95,97,5.82,RU,1607901538,9.68
Namatanai,-3.67,152.43,73,73,2.36,PG,1607901243,84.326
Palu,-0.89,119.87,75,60,1.14,ID,1607901538,77.036
Saint-Louis,16.33,-15.0,31,0,1.0,SN,1607901538,77.0
Sawākin,19.11,37.33,72,15,1.12,SD,1607901538,77.936
Vanderhoof,54.02,-124.02,89,95,1.31,CA,1607901538,14.035999999999998
Manokwari,-0.87,134.08,73,100,1.41,ID,1607901538,82.02199999999999
Campoverde,-8.48,-74.81,62,20,4.1,PE,1607901538,86.0
